,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
156,44eceb08-f2ab-4da7-b01f-7329bc170172,Laetitia Djaballah,https://play-lh.googleusercontent.com/a/ACg8ocK58V4h8_gMzeAZAbNs9FqlS-fypGVA5uaKOF12TD42=mo,Transaction idéale le top,5,0,24.7.0,2024-03-19 13:51:23,,,24.7.0
157,9d14fa7e-9f4c-44f6-9576-98f3f53f513d,angelina teste,https://play-lh.googleusercontent.com/a/ACg8ocJDEJZiTw2Vcn-7FyLunXVm4wlKdYCMJUhL45kTBf8S=mo,Bonjour.Tres bien passé. Article conforme à la description. très contente de mon achat. bonne journée. Merci beaucoup,5,0,24.10.1,2024-03-19 13:43:04,,,24.10.1
158,7f26361b-3eab-49a3-a044-30c9dfec9f99,Olivia Gonzalez,https://play-lh.googleusercontent.com/a/ACg8ocK82hKCVY5BOeKQngCXoP00D_tXd6HrUeV7r8AdNpYj=mo,Parfait pour vendre facilement,5,0,24.10.1,2024-03-19 13:26:38,,,24.10.1
159,57f43b29-98cd-4dfa-825e-0561423ab764,Christine Vanderpotte,https://play-lh.googleusercontent.com/a/ACg8ocKDI21Xu1gB43ns7IyjZowhoxWzfLOLemwhkSeixCd-=mo,"Sweat nickel, merci pour les petites friandises au top",5,0,24.11.3,2024-03-19 13:03:18,,,24.11.3
160,4fc0e3ad-e288-47b1-8808-49d21c00f646,Catherine Vercaemst,https://play-lh.googleusercontent.com/a/ACg8ocImpUj4Dh1NzvCIhbTGvnSJKrVh8MuEc4soy6f8CL2j=mo,Vinted c est génial on trouve des choses sympa et pas cher,5,0,24.10.1,2024-03-19 12:59:20,,,24.10.1
161,907a9ee6-eae0-4fa7-987a-85c15cb1e9b3,claire pelle,https://play-lh.googleusercontent.com/a-/ALV-UjXI2j7iJ07tqaRpaxgsQVYs_cTNG5mriVBkfcroRI0r_sQ,"Produits en meilleur état que je pensais, au top. Merci",5,0,24.10.1,2024-03-19 12:58:34,,,24.10.1
162,06102961-aaaf-4f7a-a1c5-dd076aa07e8a,fred bdx,https://play-lh.googleusercontent.com/a-/ALV-UjWoH2mtZJGns5i8rVTWcUfQBj9vnV0a-efRgd-4JKA3DJ0,Une excellente communication un envoi rapide je recommande évidemment ce vendeur,5,0,24.10.1,2024-03-19 12:50:57,,,24.10.1
163,4074633b-80ed-4150-96d9-81a3984780ac,Nadia Louboutin,https://play-lh.googleusercontent.com/a/ACg8ocKc5kdMZ9Q2TcdSCGfbOo2A3rD9nYrsn3ikGGitzo1-=mo,Une vinty sympa et reçu rapidement 😉,5,0,24.10.1,2024-03-19 12:50:06,,,24.10.1
164,d9df88e1-a996-40f0-943c-af0b7b77e80d,Alain Gras,https://play-lh.googleusercontent.com/a/ACg8ocKaN9zoR_Jw_nEKRdQY6Adp99zNHo62cRer2WdcrnXb=mo,Je suis très satisfait je trouve toujours ce don j'ai besoin,5,0,24.10.1,2024-03-19 12:49:35,,,24.10.1
165,9d745198-e5ab-4e79-8138-086303526879,Magali Année,https://play-lh.googleusercontent.com/a-/ALV-UjXnQG1XrBLoQGQ6YBeH4bPJKq9MebU9QFZCgdbvXX42iQ,Parfait 😺,5,0,24.10.1,2024-03-19 12:48:05,,,24.10.1
